,Unnamed: 0,Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
0,0,20.0,6,64.0,23374.409273294696,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,4.279136657714844e-05,100,0.0,DDOS
1,1,20.0,6,64.0,34236.42151661089,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.9208660125732423e-05,100,0.0,DDOS
2,2,20.12,6,64.0,10541.630642404743,0.99,0.0,0.99,0.01,0.01,0.0,0.0,1,0,99,99,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6288,60,348,62.88,28.799999999999983,62.88,9.678125381469728e-05,100,829.4399999999991,DDOS
3,3,20.0,6,64.0,57080.89275993468,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.7518997192382813e-05,100,0.0,DDOS
4,4,20.0,6,64.0,66841.49800796813,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.497030258178711e-05,100,0.0,DDOS
5,5,20.0,6,64.0,12796.094941729209,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,7.816076278686523e-05,100,0.0,DDOS
6,6,20.0,6,64.0,16877.128601319815,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,5.925178527832032e-05,100,0.0,DDOS
7,7,20.0,6,64.0,21644.66921250903,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,4.621028900146484e-05,100,0.0,DDOS
8,8,20.0,6,64.0,51679.44800394283,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.935958862304688e-05,100,0.0,DDOS
9,9,20.0,6,64.0,16672.51262074174,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,5.9988498687744144e-05,100,0.0,DDOS
